source,target,value
Real Property Tax,General Fund,44352255
Property Transfer Tax,General Fund,11000000
Unsecured Property,General Fund,2498523
Sales Tax,General Fund,16365826
Business License,General Fund,16253126
Hotel Tax,General Fund,5957082
Utility Users Tax,General Fund,14629742
Auto. In-Lieu,General Fund,9671582
Parking Fines,General Fund,7000000
Moving Violations,General Fund,200000
Interest,General Fund,2600000
Service Fees,General Fund,8246837
Other Revenues,General Fund,15606528
Special Revenue Funds,Restricted Funds,22052333
Enterprise Funds,Restricted Funds,84855130
Gas / Sales Tax Street Improvement Funds,Restricted Funds,6161504
Bond Funds,Restricted Funds,203336
Debt Service Funds,Restricted Funds,8229129
Grant Funds,Restricted Funds,25785992
Internal Service Funds,Restricted Funds,23217483
Other Funds,Restricted Funds,41761700
Dual Appropriations,Restricted Funds,52331726
General Fund,Mayor & Council,1768200
General Fund,Auditor,2052561
General Fund,Police Review Commission,549881
General Fund,City Manager,4796940
General Fund,Office of Economic Development,2027532
General Fund,Information Technology,5260048
General Fund,City Attorney,2300900
General Fund,City Clerk,1897904
General Fund,Finance,5536002
General Fund,Human Resources,1890079
General Fund,"Health, Housing & Community Services",12211374
General Fund,Police,55820901
General Fund,Fire,27718065
General Fund,Public Works,2600255
General Fund,"Parks, Recreation & Waterfront",5562004
General Fund,Planning,1687798
General Fund,Community Agencies,4535365
General Fund,Non-Departmental (Debt Service & Misc),16165675
Restricted Funds,Auditor,130027
Restricted Funds,City Manager,451961
Restricted Funds,Office of Economic Development,2227862
Restricted Funds,Information Technology,3453425
Restricted Funds,City Attorney,1719633
Restricted Funds,Finance,1878587
Restricted Funds,Human Resources,1333418
Restricted Funds,"Health, Housing & Community Services",25490291
Restricted Funds,Police,4613303
Restricted Funds,Fire,7056428
Restricted Funds,Public Works,92642275
Restricted Funds,"Parks, Recreation & Waterfront",17962391
Restricted Funds,Planning,11417342
Restricted Funds,Library,19094157
Restricted Funds,Rent Board,4245000
Restricted Funds,Non-Departmental (Debt Service & Misc),32139517
